id;name;description;price;catalog_url;category_id;picture_url
76;Система охлаждения Deepcool GAMMAXX 300;Вес (г): 473, Габариты (мм): 121x75.5x144, Уровень шума (дБ): 21, Питание: 4-pin, Регулятор оборотов: авто (PWM), Максимальные обороты (об/мин): 1600, Диаметр вентилятора (мм): 120, Intel 1151, Intel 1155/1156, Intel 1150, Intel 775, AMD AM4, Socket: AMD AM2/AM3/FM1/FM2, Тип крепления: защелки, Материал радиатора: алюминий/медь ;1164;…;17;http://magazilla.ru/jpg_zoom1/196822.jpg
77;Система охлаждения Deepcool GAMMAXX 400;Вес (г): 638, Габариты (мм): 135х76х159, Уровень шума (дБ): 21, Питание: 4-pin, Регулятор оборотов: авто (PWM), Максимальные обороты (об/мин): 1500, Диаметр вентилятора (мм): 120, Intel 1151, Intel 2011 v3, Intel 2011, Intel 1366, Intel 1155/1156, Intel 775, AMD AM4, Socket: AMD AM2/AM3/FM1/FM2, Тип крепления: двусторонний (backplate) ;1384;…;17;http://magazilla.ru/jpg_zoom1/252352.jpg
78;Система охлаждения Deepcool GAMMAXX 200T;Вес (г): 361, Габариты (мм): 128x71x132, Уровень шума (дБ): 26, Питание: 4-pin, Регулятор оборотов: авто (PWM), Максимальные обороты (об/мин): 1600, Диаметр вентилятора (мм): 120, Intel 1151, Intel 1155/1156, Intel 1150, Intel 775, AMD AM4, Socket: AMD AM2/AM3/FM1/FM2, Тип крепления: двусторонний (backplate) ;741;…;17;http://magazilla.ru/jpg_zoom1/1177947.jpg
79;Система охлаждения Zalman CNPS10X Optima;Вес (г): 630, Габариты (мм): 152x132x85, Уровень шума (дБ): 28, Питание: 4-pin, Регулятор оборотов: авто (PWM), Максимальные обороты (об/мин): 1700, Диаметр вентилятора (мм): 120, Intel 1151, Intel 1366, Intel 1155/1156, Intel 775, Socket: AMD AM2/AM3/FM1/FM2, Тип крепления: двусторонний (backplate) ;1461;…;17;http://magazilla.ru/jpg_zoom1/195349.jpg
80;Система охлаждения Deepcool ICEEDGE MINI;Вес (г): 268, Габариты (мм): 127x63x129.5, Уровень шума (дБ): 23, Питание: 3-pin, Регулятор оборотов: отсутствует, Максимальные обороты (об/мин): 2200, Диаметр вентилятора (мм): 80, Intel 1151, Intel 1155/1156, Intel 775, Socket: AMD AM2/AM3/FM1/FM2, Тип крепления: защелки, Материал радиатора: алюминий/медь ;507;…;17;http://magazilla.ru/jpg_zoom1/197501.jpg
81;PCI контроллер STLab U-1270;Занимаемых слотов: 1, Дополнительное питание: Molex, Уровни RAID: USB 3.1 (шт): 4, Интерфейс: PCI-E 1x, Тип: плата расширения;1427;…;18;http://magazilla.ru/jpg_zoom1/1325985.jpg
82;PCI контроллер Orient XWT-PS056;Занимаемых слотов: 3, Уровни RAID: COM-порт (шт): 6, Интерфейс: PCI, Тип: плата расширения;1639;…;18;http://magazilla.ru/jpg_zoom1/1327273.jpg
83;PCI контроллер Orient XWT-PS054;Низкопрофильная, Занимаемых слотов: 2, Уровни RAID: COM-порт (шт): 4, Интерфейс: PCI, Тип: плата расширения;1015;…;18;http://magazilla.ru/jpg_zoom1/1326674.jpg
84;PCI контроллер Orient XWT-PS050V2LP;Низкопрофильная, Занимаемых слотов: 2, Уровни RAID: COM-порт (шт): 2, Интерфейс: PCI, Тип: плата расширения;570;…;18;http://magazilla.ru/jpg_zoom1/1327244.jpg
85;PCI контроллер Orient XWT-PS050;Низкопрофильная, Занимаемых слотов: 1, Уровни RAID: COM-порт (шт): 2, Интерфейс: PCI, Тип: плата расширения;616;…;18;http://magazilla.ru/jpg_zoom1/1326686.jpg
86;Wi-Fi адаптер Xiaomi Mi WiFi Router 3;Вес (г): 220, сетевой экран (Firewall), режим моста, поддержка VPN, файл-сервер, DHCP-сервер, WPA2, WEP, Стандарты безопасности: WPA, Антенна: внешняя, Кол-во USB 2.0: 1, Скорость LAN-портов: 100 Мбит/сек, Интерфейсы (для адаптеров): Кол-во LAN портов: 2 порта, Макс. скорость при 5 ГГц (Мбит/с): 867 ;1749;…;19;http://magazilla.ru/jpg_zoom1/978329.jpg
87;Wi-Fi адаптер TP-LINK TL-WR841N;Простая как в плане использования;911;…;19;http://magazilla.ru/jpg_zoom1/106413.jpg
88;Wi-Fi адаптер ZyXel Keenetic Extra II;Вес (г): 230, Габариты (мм): 167x100x33, сетевой экран (Firewall), репитер, поддержка VPN, принт-сервер, файл-сервер, Web-сервер, FTP-сервер, DHCP-сервер, 802.1x, WPA2, WEP, Стандарты безопасности: WPA, Антенна: внешняя, Кол-во USB 2.0: 1, Скорость LAN-портов: 100 Мбит/сек, Интерфейсы (для адаптеров): Кол-во LAN портов: 4 порта;3065;…;19;http://magazilla.ru/jpg_zoom1/1244775.jpg
89;Wi-Fi адаптер Tenda AC6;Габариты (мм): 220x142x49, сетевой экран (Firewall), репитер, режим моста, поддержка VPN, DHCP-сервер, WPA2, WEP, Стандарты безопасности: WPA, Антенна: внешняя, Скорость LAN-портов: 100 Мбит/сек, Интерфейсы (для адаптеров): Кол-во LAN портов: 3 порта, Макс. скорость при 5 ГГц (Мбит/с): 867, Макс. скорость при 2.4 ГГц (Мбит/с): 300;1747;…;19;http://magazilla.ru/jpg_zoom1/1054746.jpg
90;Wi-Fi адаптер Xiaomi Mi WiFi Router 3G;Вес (г): 260, Габариты (мм): 195x131x177, сетевой экран (Firewall), режим моста, поддержка VPN, DHCP-сервер, WPA2, WEP, Стандарты безопасности: WPA, Антенна: внешняя, Кол-во USB 3.0: 1, Скорость LAN-портов: 1 Гбит/сек, Интерфейсы (для адаптеров): Кол-во LAN портов: 2 порта, Макс. скорость при 5 ГГц (Мбит/с): 866;3729;…;19;http://magazilla.ru/jpg_zoom1/1171183.jpg
91;Модем Huawei E3372;Вес (г): 35, Габариты (мм): 88x28x11.5, Питание: от USB, слот для SIM-карты, разъем для карты памяти, разъем для внешней антенны, 3mob, Интертелеком, Vodafone, lifecell, Киевстар, Йота, МегаФон, MTC, Билайн, EV-DO rev. A (до 3.1 Мбит/с), LTE (до 173 Мбит/с), HSPA+ (70 Мбит/с), HSDPA (до 14.4 Мбит/с) ;2176;…;20;http://magazilla.ru/jpg/519416.jpg
92;Модем Huawei E5573;Вес (г): 95, Питание: от аккумулятора, Ёмкость аккумулятора (мАч): 1500, слот для SIM-карты, разъем для внешней антенны, 3mob, Vodafone, lifecell, Киевстар, Йота, МегаФон, MTC, Билайн, LTE (до 173 Мбит/с), HSPA+ (70 Мбит/с), HSDPA (до 14.4 Мбит/с), HSUPA (до 5.7 Мбит/с), W-CDMA (до 2 Мбит/с), EDGE (до 240 Кбит/с) ;2970;…;20;http://magazilla.ru/jpg_zoom1/791478.jpg
93;Модем Huawei E8372;Вес (г): 40, Габариты (мм): 94x30x14, Питание: от USB, слот для SIM-карты, разъем для карты памяти, разъем для внешней антенны, 3mob, Vodafone, lifecell, Киевстар, Йота, МегаФон, MTC, Билайн, LTE (до 173 Мбит/с), HSPA+ (70 Мбит/с), HSDPA (до 14.4 Мбит/с), HSUPA (до 5.7 Мбит/с), W-CDMA (до 2 Мбит/с) ;2659;…;20;http://magazilla.ru/jpg_zoom1/634505.jpg
94;Модем Huawei E5776;Вес (г): 150, Габариты (мм): 106.4x66x15.5, Питание: от аккумулятора, Время работы в режиме ожидания (ч): 500, Время работы в режиме интернет-серфинга (ч): 10, Ёмкость аккумулятора (мАч): 3000, дисплей, слот для SIM-карты, разъем для карты памяти, разъем для внешней антенны, 3mob, Vodafone, lifecell ;1254;…;20;http://magazilla.ru/jpg_zoom1/519673.jpg
